champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
32,Amumu,4,14,False,3,6,9,36142,7117,11,44,1057,3068
50,Swain,4,7,False,9,8,3,88745,9676,12,159,1056,3916
103,Ahri,4,14,False,0,8,5,64059,6594,12,91,1056,2421
246,Qiyana,11,4,False,9,6,1,124563,10530,13,44,3142,6630
164,Camille,14,12,False,3,6,2,87585,8061,14,165,1054,3078
9,Fiddlesticks,11,4,True,7,2,6,160875,11442,15,20,6653,3157
41,Gangplank,12,4,True,6,5,4,170611,13273,16,178,1055,3508
25,Morgana,4,14,True,3,7,13,20707,8339,12,19,3157,3853
202,Jhin,7,4,True,13,5,7,137862,13031,15,144,3009,3036
68,Rumble,14,4,True,5,5,6,116670,10454,15,177,4636,3089
875,Sett,12,4,True,4,2,2,70088,8282,12,147,1037,6630
22,Ashe,4,1,True,2,2,0,51345,6117,10,138,1055,2031
7,Leblanc,14,4,True,2,0,3,53172,6413,12,126,3020,6655
12,Alistar,4,14,True,0,2,2,11242,3931,7,24,1029,0
104,Graves,4,11,True,4,0,4,127162,7660,12,24,6692,2031
164,Camille,14,12,False,2,4,0,42286,5934,12,106,2031,3077
518,Neeko,14,4,False,0,2,0,58521,5014,11,125,4636,2033
32,Amumu,14,4,False,2,1,2,15448,4665,8,29,3105,3860
5,XinZhao,4,11,False,0,4,2,71039,4973,10,9,1036,0
110,Varus,7,4,False,2,1,2,64516,6989,10,150,1055,3004
