champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
126,Jayce,12,4,False,3,6,0,81463,9202,13,185,6692,3004
234,Viego,11,4,False,2,1,3,130179,8381,13,40,3047,2031
85,Kennen,4,12,False,2,12,0,52378,6811,12,120,1083,2421
115,Ziggs,4,12,False,2,4,3,111511,8924,13,197,2031,6655
32,Amumu,4,14,False,1,10,6,23732,5413,11,30,3047,3190
235,Senna,4,14,True,1,4,15,29592,8082,12,16,2055,3864
164,Camille,4,12,True,8,3,6,101021,11129,16,157,3158,6333
134,Syndra,12,4,True,10,0,4,151858,13547,16,231,3020,4629
202,Jhin,7,4,True,5,1,8,118163,10794,13,192,3111,6671
121,Khazix,11,4,True,9,2,5,166624,11320,14,17,3134,3142
32,Amumu,4,11,True,6,7,21,145071,13568,15,41,3157,0
16,Soraka,7,4,True,1,6,22,21824,9798,14,29,3853,2065
555,Pyke,12,4,True,24,2,7,110174,24467,16,143,6691,3814
134,Syndra,12,4,True,11,5,16,211376,16776,16,217,2421,3020
23,Tryndamere,14,4,True,10,7,20,226345,16795,17,163,3158,3031
131,Diana,4,14,False,7,12,7,171988,12236,14,178,3089,1082
164,Camille,4,12,False,9,7,5,144910,13240,15,175,2421,3111
427,Ivern,11,4,False,3,11,17,269205,10485,14,9,2065,3108
222,Jinx,7,4,False,5,12,8,100696,10552,13,127,6672,3036
432,Bard,14,4,False,2,10,16,32372,8588,12,30,3190,8001
48,Trundle,4,11,False,5,3,9,160413,11833,15,50,6632,2055
101,Xerath,4,12,False,5,6,7,131279,10352,14,194,4628,1082
12,Alistar,4,14,False,1,11,12,19033,6854,11,25,2055,3190
114,Fiora,12,4,False,6,7,7,137254,13101,15,200,6630,6333
134,Syndra,12,4,False,5,8,5,142520,11672,14,208,3157,0
202,Jhin,4,7,True,13,3,10,222037,16522,17,241,3142,6676
25,Morgana,14,4,True,1,9,13,24856,8649,12,20,3853,3157
68,Rumble,4,14,True,3,7,15,110010,10958,15,153,3152,3165
91,Talon,14,4,True,6,0,6,193462,14755,18,262,6630,3142
121,Khazix,11,4,True,12,3,8,230412,15325,17,35,3158,3123
114,Fiora,14,4,True,8,2,2,100725,10985,12,140,1054,6673
101,Xerath,4,12,True,0,2,4,86286,7186,11,143,1056,6655
81,Ezreal,7,4,True,0,2,0,52335,5879,10,114,6632,0
76,Nidalee,11,4,True,7,1,1,132981,9466,12,11,3041,2031
89,Leona,4,14,True,0,1,2,11391,4543,8,27,3855,3117
133,Quinn,4,14,False,0,7,1,51255,4751,11,98,1055,2031
16,Soraka,14,4,False,4,3,3,62938,7550,12,121,2031,1056
51,Caitlyn,4,11,False,0,3,1,44890,4127,8,31,1055,3006
48,Trundle,4,14,False,1,1,5,18531,4709,9,27,3067,2055
115,Ziggs,12,4,False,3,2,3,77597,7325,11,167,1056,6655
28,Evelynn,11,4,False,6,8,2,158944,11324,14,47,3152,3089
67,Vayne,1,4,False,2,9,4,108561,10477,13,212,3006,1036
106,Volibear,12,4,False,1,10,4,83362,7941,13,115,1054,6632
555,Pyke,4,14,False,6,4,6,23898,9492,12,56,6691,2055
112,Viktor,12,4,False,1,5,3,155815,11125,15,256,6653,3020
3,Galio,4,14,True,4,4,14,113160,10673,16,155,3111,3152
526,Rell,4,14,True,1,5,22,19936,8407,13,46,3190,3860
875,Sett,14,4,True,7,4,4,91038,10622,15,142,0,6630
876,Lillia,11,4,True,14,0,6,303287,16884,18,65,6653,3157
134,Syndra,12,4,True,10,3,11,151896,14163,16,221,0,3020
81,Ezreal,7,4,True,9,8,7,133254,12151,14,173,3158,3110
101,Xerath,4,12,True,6,7,10,136801,12291,16,220,3102,3158
64,LeeSin,11,4,True,15,1,13,193953,16344,17,54,3026,0
111,Nautilus,4,14,True,1,7,11,26434,7846,12,38,3157,3190
875,Sett,12,4,True,4,7,11,105484,11102,16,142,1054,6630
