champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
161,Velkoz,4,7,True,3,4,25,44471,11263,17,31,3020,6653
222,Jinx,4,1,True,15,6,22,103816,14865,17,98,6673,3091
57,Maokai,3,4,True,6,6,19,46721,11371,16,23,6655,3067
517,Sylas,32,4,True,5,7,16,23393,10203,15,7,2031,3158
246,Qiyana,32,4,True,19,8,4,51515,12949,16,38,3177,3158
15,Sivir,4,7,False,12,9,9,75083,12664,16,71,3177,3042
43,Karma,4,3,False,5,9,16,46848,10544,16,34,6655,3157
523,Aphelios,21,4,False,0,5,10,32545,8864,14,43,6673,3006
35,Shaco,32,4,False,8,9,9,40772,11132,16,20,6653,3020
105,Fizz,4,32,False,6,16,9,22442,9702,14,11,4636,2421
202,Jhin,4,7,True,11,6,12,240540,16762,18,231,3009,6692
121,Khazix,11,4,True,15,9,11,191582,16148,18,31,3142,2421
69,Cassiopeia,4,14,True,16,8,11,191563,17308,18,200,1028,3040
23,Tryndamere,4,6,True,6,7,9,249395,15521,18,222,6671,3006
111,Nautilus,14,4,True,3,7,21,37732,10493,16,43,3860,3190
89,Leona,4,14,False,1,11,19,23530,8940,15,34,2055,3860
58,Renekton,4,12,False,3,11,5,150489,12127,15,206,3053,6630
91,Talon,14,4,False,12,5,9,225796,17892,18,264,6630,3142
163,Taliyah,4,11,False,16,11,8,173915,17236,15,38,3089,6655
115,Ziggs,4,12,False,5,13,8,209396,13338,16,225,2421,6653
121,Khazix,4,11,False,0,2,1,57398,4338,9,14,1001,3142
81,Ezreal,7,4,False,1,3,0,44660,4681,8,106,1055,3067
518,Neeko,14,4,False,2,4,1,30499,4881,10,86,3123,2031
350,Yuumi,3,14,False,0,2,1,5644,3185,7,2,3851,2003
127,Lissandra,12,4,False,2,1,0,54063,5443,11,125,6656,1056
202,Jhin,4,7,True,6,0,0,46025,6466,9,111,3009,2031
37,Sona,4,3,True,0,1,6,5883,3564,8,4,3851,1001
61,Orianna,4,12,True,0,1,3,64441,5845,11,135,2033,3070
39,Irelia,4,12,True,5,3,1,65222,6908,11,118,1028,2031
59,JarvanIV,11,4,True,1,0,5,72398,5698,10,6,3047,2031
59,JarvanIV,4,11,True,10,5,10,177174,13663,15,62,6630,2421
235,Senna,4,21,True,8,4,8,116708,12689,14,173,3031,3133
147,Seraphine,4,12,True,2,2,11,140053,10358,15,208,6653,2055
16,Soraka,4,7,True,1,6,15,17484,7367,12,10,3853,2055
58,Renekton,4,12,True,3,4,9,153063,11284,16,212,3053,6630
89,Leona,14,4,False,1,6,9,16138,6555,11,36,6662,3857
110,Varus,7,4,False,5,5,9,157834,12428,14,214,1038,3042
92,Riven,14,4,False,3,5,4,147925,10827,15,217,1055,3071
3,Galio,4,12,False,7,5,6,136369,10557,15,177,3152,3157
48,Trundle,11,4,False,5,3,9,145827,10782,14,29,2055,3110
432,Bard,3,4,False,0,3,2,15256,4376,9,43,3860,3047
107,Rengar,11,4,False,6,6,3,80282,7734,11,8,1001,6029
119,Draven,7,4,False,1,3,0,63250,6884,10,154,6673,3134
105,Fizz,4,14,False,3,5,2,73292,7257,12,127,2033,2420
164,Camille,12,14,False,4,7,6,67961,7546,12,113,0,0
121,Khazix,11,4,True,6,3,8,106982,8823,12,16,3047,2055
56,Nocturne,14,12,True,5,4,6,112962,8761,13,164,6630,3123
53,Blitzcrank,3,4,True,3,2,7,15398,6282,10,28,2065,3857
202,Jhin,4,7,True,2,2,9,107731,8771,12,166,1055,6671
3,Galio,4,12,True,8,3,7,100046,9974,13,134,1058,2031
526,Rell,4,14,True,2,5,11,16422,7455,11,42,3111,3860
64,LeeSin,11,4,True,12,4,13,190966,14324,16,18,3111,3053
112,Viktor,12,4,True,9,2,11,106431,11741,16,163,3100,3040
81,Ezreal,4,7,True,5,2,16,189179,13384,15,225,3074,3042
516,Ornn,12,4,True,2,3,8,101350,9694,15,184,7005,3076
28,Evelynn,11,4,False,6,8,6,119168,9999,13,14,3152,2031
48,Trundle,4,14,False,2,5,9,17813,6327,10,33,3158,3067
150,Gnar,4,12,False,2,6,5,139460,9858,15,208,1036,1036
3,Galio,14,4,False,4,4,8,107030,9642,13,184,3152,3020
22,Ashe,7,4,False,2,7,5,87417,8777,12,161,1055,6673
32,Amumu,4,32,False,10,12,33,42649,13744,18,22,3047,3143
235,Senna,4,1,False,14,9,28,88005,15514,18,58,3184,3042
202,Jhin,4,21,False,21,12,16,98233,16378,17,49,3036,6671
89,Leona,4,32,False,1,13,29,25305,10955,17,26,2051,3068
115,Ziggs,3,4,False,3,10,33,127204,12606,18,74,6655,3020
67,Vayne,4,1,True,15,9,16,72249,14688,18,64,3184,7007
64,LeeSin,4,32,True,13,11,25,46706,14223,18,30,7001,3142
516,Ornn,32,4,True,6,11,32,34717,12440,18,23,2051,3143
875,Sett,32,6,True,7,8,37,77279,15049,18,44,3075,3083
236,Lucian,4,6,True,15,10,24,126914,15763,18,87,7008,3031
85,Kennen,12,4,False,2,4,9,97407,9421,16,193,1052,3152
51,Caitlyn,7,4,False,6,5,2,151283,12279,14,223,2055,1055
412,Thresh,14,4,False,0,8,9,16759,6028,11,36,3117,3857
39,Irelia,12,4,False,4,8,9,138782,10768,15,215,3044,2421
141,Kayn,4,11,False,7,4,5,178356,11866,14,39,3158,3053
76,Nidalee,4,11,True,5,2,12,135938,10351,15,29,4636,2421
150,Gnar,4,12,True,1,7,5,139725,9871,15,198,1054,1028
432,Bard,3,4,True,0,5,14,24541,7460,12,14,2065,3853
164,Camille,12,14,True,13,3,5,188321,16454,16,216,3053,6632
81,Ezreal,12,4,True,10,2,7,190737,14621,16,239,3042,0
39,Irelia,32,4,True,6,6,18,23833,8871,12,29,3044,1037
112,Viktor,4,7,True,7,6,23,29418,8326,12,17,6655,3020
81,Ezreal,4,7,True,11,2,22,35632,9559,13,30,3158,0
202,Jhin,7,4,True,6,5,17,20924,8415,12,19,6676,1001
498,Xayah,4,6,True,7,4,21,46701,9028,13,36,6673,3057
114,Fiora,32,4,False,1,8,16,20338,6636,11,18,6630,3047
412,Thresh,4,32,False,1,7,18,17165,7004,11,23,3068,3075
41,Gangplank,32,4,False,10,7,9,43617,8877,11,25,3508,2031
145,Kaisa,4,7,False,7,7,6,19658,7537,11,20,6655,3020
