champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
81,Ezreal,4,7,False,6,7,6,252683,14905,17,250,6632,3042
28,Evelynn,4,11,False,16,9,13,198800,16191,18,25,3020,3135
267,Nami,4,3,False,4,6,23,39456,11720,17,30,4643,3853
246,Qiyana,4,14,False,5,17,8,135198,11755,15,171,0,6693
62,MonkeyKing,12,4,False,4,8,8,139352,12849,16,205,6333,6630
19,Warwick,4,21,True,12,8,9,116900,15125,17,170,1011,3091
163,Taliyah,4,11,True,9,8,22,235331,15493,18,27,3157,1026
91,Talon,14,4,True,17,6,15,181071,18219,18,213,6630,3142
432,Bard,3,4,True,0,5,27,39923,9641,16,60,3860,3190
236,Lucian,4,7,True,9,8,9,171699,14461,17,223,0,6671
22,Ashe,7,4,True,6,3,9,82419,9030,11,120,6673,3006
28,Evelynn,4,11,True,10,5,6,70500,8157,11,8,3020,2031
41,Gangplank,12,4,True,3,3,3,77460,7938,12,138,3508,2033
412,Thresh,14,4,True,2,3,15,12634,5761,9,22,3190,3855
246,Qiyana,4,14,True,5,3,4,59240,7446,11,123,3134,6693
203,Kindred,4,3,False,4,7,5,43361,6180,10,91,1055,6673
13,Ryze,4,12,False,6,5,3,52780,7397,10,113,2033,6656
86,Garen,14,4,False,2,3,2,41760,5564,11,104,1054,6631
30,Karthus,11,3,False,5,4,7,103952,8403,11,16,6655,2420
111,Nautilus,4,14,False,0,7,8,16974,4111,8,26,2055,3859
202,Jhin,4,1,False,8,4,8,236901,14653,16,242,3042,3142
68,Rumble,4,14,False,3,7,13,165243,12228,17,218,3152,3157
41,Gangplank,12,4,False,7,5,8,350558,18097,18,308,3078,3031
875,Sett,4,14,False,1,9,10,31041,7852,14,41,6630,3857
76,Nidalee,11,4,False,10,4,10,182609,14364,16,54,4636,3157
13,Ryze,12,4,True,5,4,7,320378,16673,18,267,3089,6656
126,Jayce,12,4,True,10,7,3,247672,16914,18,232,6692,3035
523,Aphelios,4,7,True,9,7,7,236138,16796,18,255,3031,3006
20,Nunu,4,11,True,5,6,17,178255,13361,17,50,3068,3020
412,Thresh,4,14,True,0,5,16,26013,8892,14,33,3109,3190
80,Pantheon,4,14,False,2,4,8,30702,7579,11,44,3857,6609
245,Ekko,4,11,False,6,4,3,234248,12405,15,46,3152,1058
164,Camille,14,12,False,7,5,3,135961,12553,15,199,1054,3748
81,Ezreal,4,1,False,2,4,2,131802,10670,14,227,3042,6632
3,Galio,12,4,False,3,2,10,138654,11474,15,206,3111,6656
126,Jayce,12,4,True,3,7,9,187690,12665,17,238,6692,3042
432,Bard,14,4,True,3,4,9,25563,8427,13,17,3190,8001
427,Ivern,11,4,True,2,2,10,444628,10767,15,23,3117,3107
1,Annie,14,4,True,5,6,3,85750,10711,14,167,3157,3020
523,Aphelios,7,4,True,6,1,5,164564,13558,16,268,1055,1018
110,Varus,4,1,False,2,5,8,123301,10001,14,195,3035,3042
1,Annie,14,4,False,10,3,5,100391,13244,15,182,3041,3020
875,Sett,4,12,False,4,9,7,108137,10742,14,144,0,1055
432,Bard,14,4,False,1,6,13,16384,7968,12,22,3190,4629
64,LeeSin,11,4,False,9,7,6,170798,12637,14,28,6630,2420
412,Thresh,4,14,True,0,4,17,16036,7213,12,36,3190,1057
41,Gangplank,12,4,True,7,4,15,122349,13344,15,176,3047,2033
523,Aphelios,4,1,True,6,3,9,164467,12903,15,223,3031,6673
4,TwistedFate,14,4,True,2,10,12,115621,10976,15,185,3157,6656
104,Graves,4,11,True,15,5,8,215875,16529,17,54,6692,6676
51,Caitlyn,7,4,True,7,5,15,156518,12762,15,187,6671,3036
432,Bard,4,3,True,3,6,21,17911,8313,13,10,3111,3853
121,Khazix,11,4,True,14,3,7,159619,12700,14,11,6693,2420
134,Syndra,12,4,True,9,4,10,147064,13575,15,195,1058,3040
223,TahmKench,12,4,True,7,5,3,69755,9595,13,132,2031,6662
41,Gangplank,12,4,False,7,5,7,174946,12580,15,209,3508,6693
59,JarvanIV,11,4,False,8,6,12,136970,11669,14,17,3158,6630
81,Ezreal,7,4,False,7,9,8,101264,11547,14,143,1055,6632
34,Anivia,14,4,False,0,11,5,94552,7487,14,165,1082,2421
99,Lux,14,4,False,1,9,15,32111,7002,11,23,3020,2031
37,Sona,7,4,True,3,2,12,30041,8624,12,82,3070,3853
517,Sylas,4,12,True,8,7,10,92828,10547,13,110,3041,6656
157,Yasuo,12,4,True,5,4,2,211172,12874,15,214,3123,3211
104,Graves,4,11,True,6,3,10,179629,11984,14,75,6676,3036
111,Nautilus,14,4,True,3,5,8,21552,7155,11,44,3860,3190
115,Ziggs,4,12,False,3,4,10,139685,10100,13,215,6653,3020
7,Leblanc,4,12,False,6,6,11,66939,9446,13,124,2033,4630
64,LeeSin,11,4,False,9,6,5,90293,10454,12,9,6692,3047
16,Soraka,4,3,False,0,4,14,9396,5772,10,6,0,3853
41,Gangplank,12,4,False,3,5,5,142775,9877,14,196,3078,2033
48,Trundle,4,11,False,2,5,7,97788,7778,11,22,2055,0
267,Nami,4,14,False,0,2,12,12151,5617,10,7,3114,2065
122,Darius,4,6,False,5,4,3,83095,8484,12,130,6631,6695
68,Rumble,14,4,False,6,4,6,87210,9219,13,134,3152,2421
