champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
23,Tryndamere,6,4,True,15,0,4,163762,13901,14,149,1055,6672
64,LeeSin,4,11,True,5,4,11,103159,8728,12,26,2031,6630
498,Xayah,4,7,True,5,1,6,116906,10325,12,189,6671,1055
38,Kassadin,14,4,True,7,1,3,80435,9761,13,158,3110,2031
497,Rakan,14,4,True,0,4,13,15390,5781,10,29,3860,2065
126,Jayce,4,14,False,3,2,1,100132,7855,12,173,1055,3070
54,Malphite,4,12,False,0,12,1,46361,5227,10,96,2033,3047
104,Graves,4,11,False,5,10,1,92572,7637,11,44,1001,2055
202,Jhin,4,7,False,1,3,3,51504,6335,10,125,2031,6671
412,Thresh,4,3,False,1,5,3,12429,4588,9,28,3009,2031
432,Bard,4,14,False,1,4,13,24639,7667,13,21,3190,3916
64,LeeSin,11,4,False,3,6,10,148097,10025,14,21,0,6630
875,Sett,4,14,False,1,9,7,111683,7959,14,142,1055,3053
498,Xayah,4,7,False,5,4,9,212928,13249,16,258,6671,3031
86,Garen,4,14,False,9,8,4,142952,14071,15,205,3033,6631
81,Ezreal,4,7,True,2,5,7,160550,11371,15,204,3078,3024
234,Viego,4,11,True,11,5,9,217884,14791,16,26,3153,6673
68,Rumble,14,4,True,8,2,11,173686,14567,17,200,3020,3152
777,Yone,4,12,True,7,3,7,262317,17136,18,289,3006,3026
412,Thresh,4,14,True,3,4,7,20068,8250,13,41,3190,3067
110,Varus,7,4,True,8,9,14,122541,11979,14,168,3091,6673
166,Akshan,4,14,True,13,6,16,128049,14276,16,153,1037,6671
85,Kennen,4,12,True,5,4,17,118260,10868,15,157,1054,3152
35,Shaco,11,14,True,21,2,13,176540,17443,16,24,6691,3026
32,Amumu,14,4,True,1,8,18,26009,7478,12,42,3047,3190
875,Sett,14,4,False,2,8,5,85996,9132,14,139,2055,6630
28,Evelynn,4,11,False,8,12,11,125333,11413,14,12,1082,3152
12,Alistar,4,14,False,3,7,12,18329,7541,12,27,3009,3190
119,Draven,4,7,False,5,13,9,118288,11758,13,140,6692,3006
164,Camille,12,14,False,11,8,4,157356,13830,16,219,3748,1055
110,Varus,7,4,False,7,8,5,77387,9362,11,139,1055,6692
92,Riven,4,14,False,1,9,1,100850,7256,12,135,3123,3158
38,Kassadin,12,4,False,1,7,3,59953,7281,12,136,6656,2031
59,JarvanIV,4,11,False,7,9,6,83026,9444,11,21,6630,2031
111,Nautilus,4,14,False,2,11,7,18503,5745,9,24,3190,2421
62,MonkeyKing,4,14,True,16,4,9,78097,13161,13,133,3009,3142
412,Thresh,4,14,True,2,3,20,19842,7425,11,36,2055,3190
106,Volibear,12,4,True,11,3,11,119968,11938,15,162,1052,3076
22,Ashe,4,7,True,4,5,12,58699,7794,11,101,1055,1018
20,Nunu,11,14,True,11,3,19,123057,11549,13,31,1052,2420
