champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
81,Ezreal,4,7,False,1,1,3,141637,10201,14,224,3035,3042
267,Nami,14,4,False,0,6,3,6567,5961,11,24,3158,4005
104,Graves,11,4,False,2,3,2,210149,11041,15,64,3047,3142
82,Mordekaiser,12,4,False,4,5,2,129964,11610,15,228,3116,4633
91,Talon,14,4,False,4,2,2,148191,11181,15,224,6630,2055
412,Thresh,4,14,True,1,2,7,20557,7891,12,35,3109,3857
429,Kalista,4,7,True,4,1,4,179036,14660,15,276,3124,3026
5,XinZhao,11,4,True,3,5,6,187893,10645,15,35,0,6630
7,Leblanc,4,12,True,6,2,5,106784,11761,16,204,2033,0
78,Poppy,4,12,True,3,1,5,103920,9863,16,163,2033,3068
127,Lissandra,4,12,True,7,2,10,104571,10259,14,158,6655,3165
22,Ashe,4,7,True,9,5,11,58686,9308,12,84,6677,0
107,Rengar,12,4,True,4,3,8,99883,8937,14,150,0,3142
74,Heimerdinger,4,3,True,11,3,12,66515,10148,11,36,3020,3157
254,Vi,11,4,True,5,3,3,130920,8858,14,21,3074,0
37,Sona,4,7,False,1,11,6,11478,5258,9,15,3853,6617
234,Viego,11,4,False,2,5,5,122801,8654,13,37,2031,3111
555,Pyke,12,4,False,8,7,2,27757,9923,11,67,3155,3142
92,Riven,12,4,False,2,4,0,81358,8497,13,158,3133,3076
81,Ezreal,4,12,False,3,9,3,81568,7335,11,146,6632,3042
91,Talon,11,14,False,9,5,6,169882,12308,14,51,6630,3067
236,Lucian,4,7,False,4,8,5,101817,9300,13,170,3508,6671
58,Renekton,12,4,False,6,12,5,84473,9199,13,130,6630,3143
497,Rakan,14,4,False,1,6,15,15522,6477,11,29,2065,3860
84,Akali,14,4,False,1,6,7,86891,8364,14,174,1056,1082
110,Varus,4,7,True,7,5,13,99772,10486,13,157,3133,3042
245,Ekko,11,4,True,11,4,14,159724,13301,15,35,3152,3157
92,Riven,14,12,True,14,2,12,128014,14121,15,166,3142,6630
157,Yasuo,14,4,True,1,4,13,123547,8955,14,169,1055,2031
32,Amumu,14,4,True,4,6,15,19149,7488,12,33,8001,3190
145,Kaisa,7,4,False,6,6,5,146142,12558,14,216,2055,2420
875,Sett,4,14,False,3,8,3,37614,7380,12,40,3857,6630
238,Zed,4,14,False,8,7,2,147083,12238,15,196,3142,6694
150,Gnar,12,4,False,5,7,8,168597,13040,16,185,3076,6632
2,Olaf,4,11,False,6,7,7,197322,12213,15,38,0,6630
32,Amumu,4,14,True,2,5,16,24823,8411,14,32,2055,3190
11,MasterYi,11,4,True,20,4,3,165962,16713,16,22,6691,6676
3,Galio,4,14,True,1,7,22,149352,11363,16,187,3020,3152
24,Jax,4,12,True,6,8,3,140806,11716,16,186,2033,3053
74,Heimerdinger,7,4,True,6,5,11,120498,12603,15,175,3157,2055
164,Camille,14,12,True,7,5,5,99185,11435,15,158,1028,1037
3,Galio,4,14,True,5,3,11,133278,11222,15,159,3111,3152
25,Morgana,4,14,True,1,4,14,22811,8249,12,17,2055,3853
141,Kayn,4,11,True,5,2,7,224565,11443,15,26,3158,2031
51,Caitlyn,7,4,True,9,1,3,175973,13927,15,203,6671,6676
887,Gwen,12,14,False,7,7,3,114010,11822,14,172,1082,0
74,Heimerdinger,12,4,False,4,6,4,103510,9347,14,171,3157,1058
432,Bard,4,3,False,0,3,9,11580,6033,11,20,3047,3190
22,Ashe,4,7,False,0,5,5,84166,7202,12,149,6673,3006
107,Rengar,11,4,False,4,6,3,112234,8652,12,21,3814,6029
11,MasterYi,11,4,True,10,3,5,106662,10972,13,29,6672,3091
164,Camille,14,12,True,2,3,8,82437,8577,13,133,1055,3074
48,Trundle,4,14,True,2,1,21,20619,7115,11,28,2055,3855
22,Ashe,4,7,True,5,3,13,73403,9001,13,136,1037,6673
13,Ryze,4,12,True,14,5,7,127642,12230,14,133,6656,3040
4,TwistedFate,4,12,False,4,10,3,65775,7751,11,118,3094,6656
154,Zac,11,4,False,7,6,6,66788,8679,10,35,6662,3158
523,Aphelios,7,4,False,3,6,3,84554,8851,11,150,6673,2055
432,Bard,4,3,False,0,4,7,19241,4706,9,32,3009,0
24,Jax,12,4,False,1,7,1,74640,6551,11,118,1055,2033
28,Evelynn,4,11,False,1,8,6,91351,6729,11,5,3020,3152
62,MonkeyKing,4,12,False,3,7,3,80861,8460,13,146,1054,3133
18,Tristana,4,1,False,2,7,2,91747,7996,11,178,2031,6673
161,Velkoz,21,4,False,3,9,3,23421,6229,10,22,3020,1052
157,Yasuo,4,14,False,5,3,1,147860,11462,14,203,3033,3031
22,Ashe,4,7,True,3,3,10,93793,9792,13,183,6673,3006
131,Diana,11,4,True,11,1,3,189595,13059,15,48,2055,3152
240,Kled,4,14,True,6,3,8,91445,10830,14,137,3082,6630
89,Leona,3,4,True,2,4,11,17772,6857,12,35,3158,3860
92,Riven,12,4,True,12,3,3,158234,14542,16,223,6630,1038
113,Sejuani,11,4,False,3,5,4,97309,7331,12,16,1029,3082
51,Caitlyn,1,4,False,2,6,0,101057,7682,10,133,6673,3086
114,Fiora,3,4,False,3,5,2,67891,7679,12,144,6630,3077
161,Velkoz,21,4,False,1,5,2,25729,5396,8,17,6653,0
157,Yasuo,14,4,False,1,4,2,105464,7942,13,180,1055,6673
30,Karthus,4,3,True,3,4,7,111379,9625,13,138,3157,1056
78,Poppy,14,4,True,2,1,8,18758,5845,10,30,3158,3857
23,Tryndamere,6,4,True,10,2,4,129449,11970,14,173,1054,6671
22,Ashe,4,7,True,3,1,8,77573,8786,12,169,6673,3046
48,Trundle,11,4,True,7,2,9,84038,8898,11,13,3047,2055
22,Ashe,4,7,False,4,7,15,150278,12861,14,234,6673,3085
68,Rumble,11,4,False,5,6,10,162151,11090,15,19,4636,3157
875,Sett,4,12,False,6,8,9,143570,13009,16,208,6630,3053
115,Ziggs,4,12,False,10,6,9,147187,13443,15,184,4628,3020
555,Pyke,14,4,False,1,9,11,32259,8437,13,48,3814,3857
421,RekSai,11,4,True,3,4,13,161861,12397,16,34,6693,3026
134,Syndra,4,12,True,5,6,13,149093,11933,15,199,3020,2421
92,Riven,4,14,True,8,8,8,142909,14040,16,220,3142,6630
164,Camille,12,4,True,17,5,8,181799,16753,17,171,3053,6632
432,Bard,4,3,True,3,3,21,24444,9498,15,24,3047,3190
58,Renekton,12,4,True,3,5,12,180344,12312,15,205,1054,3047
245,Ekko,11,4,True,16,3,10,205561,14388,16,36,3020,3157
236,Lucian,4,7,True,5,7,8,102130,9693,14,142,6671,3047
238,Zed,14,4,True,19,8,6,193372,17535,17,188,6692,3142
432,Bard,4,3,True,2,5,17,14929,7946,13,10,3009,3190
74,Heimerdinger,4,14,False,4,5,9,46139,9336,14,38,3157,3853
131,Diana,14,4,False,5,13,2,120821,9988,14,178,3020,1043
5,XinZhao,4,11,False,2,13,5,111751,8342,13,30,3047,3044
81,Ezreal,3,4,False,3,5,6,118717,9818,13,179,1055,3024
114,Fiora,12,4,False,10,9,0,142007,13051,15,175,6630,2055
