champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
1,Annie,32,4,True,9,10,15,39889,12538,17,22,6655,3157
98,Shen,32,4,True,7,7,24,36708,12839,18,25,2051,3083
40,Janna,7,4,True,7,7,28,23358,12995,17,12,6617,3107
13,Ryze,4,7,True,14,10,21,157938,16208,18,129,3040,3089
266,Aatrox,32,4,True,10,9,23,61801,14371,18,27,3047,6630
121,Khazix,4,1,False,15,13,13,50160,14744,16,33,3042,6694
29,Twitch,3,4,False,13,8,14,100370,14166,17,78,3036,6672
234,Viego,4,1,False,8,11,18,46991,12699,16,28,3111,6630
43,Karma,4,6,False,3,7,33,58530,11879,17,25,3040,3158
101,Xerath,4,13,False,4,8,29,82856,11993,18,40,3040,3112
117,Lulu,4,3,True,6,8,38,18245,12132,17,12,6617,3158
1,Annie,4,32,True,16,12,25,38559,14303,18,26,3135,4629
161,Velkoz,7,4,True,8,9,34,47487,12896,18,30,6655,1058
81,Ezreal,4,1,True,23,5,26,117296,16998,18,100,3042,3177
14,Sion,32,4,True,9,8,32,56348,14014,18,50,2051,3047
145,Kaisa,32,4,False,7,7,18,75960,12564,17,45,3042,6655
51,Caitlyn,4,1,False,9,14,17,85263,12408,17,48,3158,6693
59,JarvanIV,4,6,False,5,15,28,51410,12070,17,39,3042,6691
157,Yasuo,4,1,False,11,14,13,86970,13612,17,67,3006,2031
76,Nidalee,4,32,False,10,12,17,49337,14202,17,28,4628,3020
234,Viego,4,12,True,4,1,5,27545,7968,11,36,3153,3111
234,Viego,4,1,True,16,2,1,73509,13648,13,62,1055,6672
234,Viego,4,6,True,7,2,3,40598,9679,11,57,3100,3020
234,Viego,4,14,True,8,2,13,53431,10431,13,51,6632,2031
234,Viego,4,6,True,3,5,7,62575,9361,11,45,6672,1055
131,Diana,4,12,False,3,8,5,28198,6639,11,31,3115,1056
131,Diana,4,14,False,1,14,1,17314,5108,9,17,1082,1056
131,Diana,14,4,False,3,7,2,12002,4912,9,4,1056,3152
131,Diana,4,14,False,0,3,1,3177,3501,8,4,2419,2033
131,Diana,14,4,False,3,7,0,40877,7959,12,77,2003,6671
35,Shaco,7,4,True,19,4,6,153930,19131,18,72,6630,3074
35,Shaco,14,4,True,11,5,21,76488,15447,18,50,3157,3020
35,Shaco,14,4,True,8,6,19,69730,13575,18,70,6655,3157
35,Shaco,21,4,True,16,5,8,118077,21082,18,130,3153,6691
35,Shaco,4,14,True,11,4,23,76273,15456,18,41,6655,3020
887,Gwen,4,6,False,4,14,5,90616,11038,16,82,4633,3157
887,Gwen,4,6,False,4,10,6,109675,12960,17,105,3179,6691
887,Gwen,6,4,False,1,13,0,99792,9808,16,100,4633,3115
887,Gwen,6,14,False,10,15,2,112995,16795,17,56,4633,3143
887,Gwen,4,6,False,5,13,4,122195,15083,17,107,3078,3091
518,Neeko,12,4,False,6,12,19,71870,14338,18,49,3742,3083
518,Neeko,14,4,False,6,11,5,124311,14793,18,88,3115,3157
518,Neeko,4,14,False,25,13,6,134612,26359,18,82,3157,3139
518,Neeko,4,14,False,5,16,7,131647,13811,18,97,6655,3157
518,Neeko,14,4,False,4,13,4,156188,14306,18,136,6655,3157
246,Qiyana,4,1,True,10,11,6,163135,18179,18,117,3142,6693
246,Qiyana,4,6,True,13,7,12,154853,18268,18,97,6692,3089
246,Qiyana,14,4,True,15,11,9,86495,16986,18,51,6693,6333
246,Qiyana,4,14,True,14,11,10,147838,18577,18,57,3042,3142
246,Qiyana,4,6,True,13,6,12,196240,21409,18,111,6630,6694
166,Akshan,4,1,True,5,9,13,95230,13976,18,79,1053,6671
166,Akshan,4,6,True,19,10,9,126695,20663,18,100,3124,6675
166,Akshan,14,4,True,6,13,7,76714,13380,16,60,3006,1053
166,Akshan,4,3,True,14,7,12,148876,19243,18,85,3508,6672
166,Akshan,4,6,True,13,9,13,145230,19225,18,82,3006,3031
81,Ezreal,21,4,False,6,9,10,52382,10882,16,22,6655,3158
81,Ezreal,21,4,False,5,11,13,92037,13834,17,108,3047,6632
81,Ezreal,7,4,False,22,11,5,82077,20477,18,64,3042,6694
81,Ezreal,4,11,False,4,15,11,79876,11622,15,48,3042,2031
81,Ezreal,3,4,False,11,11,3,105902,15763,17,119,3181,6676
51,Caitlyn,4,7,False,6,4,0,147500,11666,13,212,3031,0
13,Ryze,4,12,False,1,4,0,101102,7637,13,164,2033,1052
5,XinZhao,4,11,False,0,6,2,130362,7749,12,38,3111,6630
25,Morgana,4,3,False,0,6,5,15356,5882,9,16,2055,3157
126,Jayce,4,12,False,0,7,0,86475,7096,12,164,6692,1055
150,Gnar,12,4,True,3,0,5,131160,10858,16,193,6632,2421
111,Nautilus,4,14,True,2,3,12,21695,7352,12,38,0,3190
81,Ezreal,4,7,True,5,2,7,122133,11214,14,189,3024,3042
59,JarvanIV,11,4,True,3,1,14,124896,10812,14,18,2421,2055
55,Katarina,14,12,True,14,1,2,145602,13723,16,219,6655,3115
41,Gangplank,12,4,False,6,6,3,61598,10119,13,75,3042,1055
41,Gangplank,4,14,False,4,7,2,33392,8090,12,38,6632,2031
41,Gangplank,4,14,False,2,9,4,40636,6348,11,25,3508,3070
41,Gangplank,12,4,False,3,5,3,51559,8241,12,50,3078,2033
41,Gangplank,3,4,False,1,8,6,16501,6643,11,12,6662,3863
67,Vayne,4,7,True,4,1,10,57056,9317,13,64,1055,6673
67,Vayne,4,1,True,13,4,3,64148,12867,14,53,3153,3006
67,Vayne,4,6,True,5,4,2,56285,9713,14,79,6691,1037
67,Vayne,4,6,True,2,4,9,52203,8078,12,40,6673,3006
67,Vayne,4,6,True,11,3,7,44242,11434,14,33,1055,3006
19,Warwick,11,4,True,7,11,5,95391,10632,14,8,3748,3111
134,Syndra,4,12,True,5,7,11,209716,15239,17,223,3158,3135
523,Aphelios,12,4,True,13,9,8,171306,16115,16,172,6673,1055
41,Gangplank,3,4,True,1,10,14,112848,10389,15,75,1018,1018
115,Ziggs,12,4,True,7,6,9,216283,15260,16,219,1058,3157
131,Diana,11,4,False,15,6,10,235221,16354,17,38,3020,3157
40,Janna,4,14,False,2,4,29,19984,9932,16,12,3853,2065
22,Ashe,4,7,False,3,5,15,176977,12225,16,198,3124,6673
164,Camille,4,12,False,19,9,12,181038,18131,17,143,3001,3053
3,Galio,4,12,False,4,9,6,134724,10987,16,175,3102,6664
234,Viego,11,4,True,10,8,9,154503,14429,17,32,6632,3053
267,Nami,4,3,True,2,7,20,19035,10282,16,18,3853,3158
498,Xayah,4,7,True,16,5,6,274691,19546,18,250,3031,6671
2,Olaf,4,6,True,18,6,11,301975,21907,18,243,6631,3153
7,Leblanc,4,12,True,6,7,10,103109,12530,17,142,1082,6655
236,Lucian,11,4,False,1,13,4,133141,9342,14,24,3006,6672
85,Kennen,4,12,False,8,7,10,181777,14556,17,229,3157,3135
119,Draven,7,4,False,10,11,8,233201,17508,17,214,3036,6673
41,Gangplank,12,4,False,3,12,9,250045,14491,17,224,1018,6676
555,Pyke,14,4,False,11,9,8,43852,14501,14,48,3179,3857
