champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
51,Caitlyn,7,4,True,5,1,5,243731,13770,15,277,1055,6673
64,LeeSin,4,12,True,7,1,6,124845,11939,15,147,6630,3071
131,Diana,14,4,True,6,0,6,195266,13904,17,268,3111,4636
412,Thresh,4,14,True,0,0,11,17873,7358,12,36,1057,3857
9,Fiddlesticks,11,4,True,2,5,8,143003,9296,13,9,3020,4636
111,Nautilus,4,3,False,0,4,6,19896,5834,11,29,3190,3860
45,Veigar,4,12,False,4,2,2,144415,11442,14,248,3089,3009
13,Ryze,12,4,False,0,4,1,193076,10089,15,256,2055,6656
141,Kayn,11,4,False,2,7,2,154357,8547,13,23,6630,3142
59,JarvanIV,12,4,False,1,3,4,89550,7901,13,159,6630,2033
432,Bard,4,3,True,2,5,14,19365,7571,12,12,2055,3190
91,Talon,14,4,True,13,2,7,134551,13716,15,152,6630,3142
51,Caitlyn,7,4,True,3,6,5,121046,10052,13,159,1037,6673
39,Irelia,4,12,True,9,4,9,149923,14332,14,205,6630,3153
131,Diana,4,11,True,6,4,16,183275,12418,15,28,3152,3157
121,Khazix,4,11,False,4,6,4,132524,9080,14,60,6630,3071
10,Kayle,4,12,False,6,5,2,119876,12165,14,197,1056,3157
164,Camille,4,12,False,3,7,3,98572,8291,13,145,2031,1011
79,Gragas,4,14,False,4,9,13,26848,7779,11,13,3853,3158
81,Ezreal,4,7,False,4,6,12,125792,10667,13,189,3082,3024
498,Xayah,4,7,False,2,5,6,123690,9094,13,175,6671,2031
11,MasterYi,11,14,False,8,7,2,149346,11234,13,53,3047,0
55,Katarina,14,12,False,1,4,4,103838,8677,14,169,3153,6632
876,Lillia,4,12,False,3,6,2,117891,8853,14,167,6653,3110
37,Sona,4,3,False,2,11,9,9481,7007,11,13,6617,3853
50,Swain,4,7,True,8,3,16,102554,12676,14,157,3116,6653
5,XinZhao,4,11,True,6,3,10,224216,13765,16,63,3111,6630
555,Pyke,4,14,True,7,4,14,25157,10382,13,39,3117,3179
105,Fizz,4,14,True,5,4,8,95653,10975,14,154,4636,1082
114,Fiora,12,4,True,7,2,5,156466,14709,16,196,1054,6630
43,Karma,4,14,True,4,2,18,23244,8730,11,10,0,2065
157,Yasuo,14,4,True,4,2,6,140889,11288,14,196,1055,0
38,Kassadin,4,12,True,7,4,4,87589,9571,14,126,6656,0
119,Draven,4,7,True,7,2,8,100906,11360,13,133,1018,1037
68,Rumble,11,4,True,7,2,7,121045,9728,13,25,4636,3157
85,Kennen,4,12,False,4,6,2,75095,9819,13,155,3157,3152
117,Lulu,4,3,False,1,5,4,9144,4623,9,20,2065,0
104,Graves,4,11,False,3,5,4,144073,8915,12,32,3086,3142
523,Aphelios,4,7,False,3,8,3,83528,8243,11,129,6676,0
59,JarvanIV,4,12,False,1,6,4,96463,7475,13,145,6630,2033
117,Lulu,4,3,False,1,4,0,12318,3644,7,18,3158,3859
121,Khazix,11,4,False,1,2,0,62250,4688,9,16,6692,2031
517,Sylas,4,12,False,1,4,1,33868,5070,10,98,1056,0
523,Aphelios,1,4,False,0,4,1,43333,4972,9,121,6670,1053
875,Sett,4,14,False,2,6,0,53787,5053,10,85,1055,6630
12,Alistar,4,14,True,0,0,7,10507,4330,8,28,3859,2031
110,Varus,4,7,True,6,1,2,53356,7558,10,124,6692,2055
92,Riven,14,4,True,4,3,2,47336,6705,11,108,3133,3067
245,Ekko,11,4,True,4,0,6,95984,7197,11,18,2031,2055
38,Kassadin,4,14,True,6,2,2,49389,6836,10,91,6656,2031
89,Leona,14,4,True,1,7,14,25002,8490,14,48,3860,3190
235,Senna,4,7,True,7,5,12,126790,14178,16,188,3042,6691
131,Diana,12,4,True,5,1,9,267976,15699,18,303,3020,3102
102,Shyvana,11,4,True,6,2,9,233446,14715,17,51,4636,1058
64,LeeSin,4,12,True,11,3,8,167531,15676,18,168,6630,3071
13,Ryze,4,12,False,5,6,2,215115,13911,17,240,3040,3065
51,Caitlyn,4,7,False,5,5,11,204042,14612,15,245,3036,6671
234,Viego,4,14,False,2,8,4,103696,9806,14,198,1055,3153
245,Ekko,4,11,False,3,6,9,210799,11953,15,65,3100,3152
555,Pyke,4,14,False,3,5,7,23344,8776,12,43,3857,3142
246,Qiyana,14,4,False,4,7,1,70461,7580,11,115,3089,0
58,Renekton,12,4,False,2,4,1,63842,6903,11,131,3047,6630
497,Rakan,14,4,False,1,2,4,17654,5282,9,37,1029,2065
22,Ashe,4,7,False,2,3,1,55151,6673,10,146,2055,6673
60,Elise,4,11,False,2,2,1,92205,6255,11,13,1082,2031
238,Zed,4,14,True,6,4,2,79087,9327,14,139,0,2031
67,Vayne,4,12,True,3,2,0,88046,8926,13,137,1055,6673
523,Aphelios,1,4,True,2,1,5,109455,9161,13,179,3006,6671
99,Lux,4,14,True,3,3,7,23366,8385,10,24,6656,3853
28,Evelynn,4,11,True,4,1,8,118160,8615,13,5,3102,3152
96,KogMaw,4,7,True,5,6,9,129633,13341,16,171,3006,3091
203,Kindred,11,4,True,10,7,6,352059,18294,18,95,6672,3006
84,Akali,14,12,True,14,5,10,184062,17275,18,206,4637,3020
80,Pantheon,4,14,True,3,9,15,47728,10724,14,55,6676,3134
23,Tryndamere,6,14,True,6,6,9,240173,15410,17,223,6630,3006
2,Olaf,6,11,False,5,11,7,189479,11427,16,36,3053,6630
67,Vayne,7,4,False,8,2,5,200874,14773,17,240,1038,6672
164,Camille,12,4,False,7,14,7,142815,12006,16,169,1055,3748
48,Trundle,4,3,False,1,3,19,34731,9176,15,47,3109,3190
55,Katarina,4,14,False,12,8,10,232877,16931,17,268,3152,3157
103,Ahri,12,4,True,8,1,10,103410,10853,14,152,3916,6656
64,LeeSin,4,12,True,10,2,6,125018,11679,14,134,6630,2031
67,Vayne,4,7,True,4,2,8,85347,9426,13,134,3091,3006
53,Blitzcrank,4,14,True,2,4,12,26870,7607,12,32,3024,3190
234,Viego,11,4,True,12,5,10,139018,12064,14,30,3111,3065
20,Nunu,4,11,False,3,6,7,99980,7926,11,24,1082,2031
50,Swain,4,14,False,6,6,2,67158,8218,12,126,3020,6653
14,Sion,12,4,False,3,6,4,95689,8020,13,164,2033,3068
63,Brand,4,14,False,1,13,3,29218,6029,10,24,2424,3853
145,Kaisa,7,4,False,1,5,4,76498,7438,11,155,1055,6672
106,Volibear,12,4,False,2,4,4,80347,7549,13,128,1054,6632
238,Zed,4,14,False,4,2,2,87087,8625,12,134,6691,2031
64,LeeSin,4,11,False,3,9,2,105320,8045,11,20,6630,0
555,Pyke,4,14,False,2,5,2,21249,5923,9,38,3857,3117
115,Ziggs,4,12,False,0,1,2,114982,8211,12,177,2031,2055
126,Jayce,4,12,True,5,6,3,92060,8119,12,137,3047,1036
5,XinZhao,4,11,True,4,1,9,171337,9977,14,29,2422,3053
103,Ahri,4,14,True,8,2,4,94010,10350,14,179,3020,3157
22,Ashe,4,7,True,4,1,8,72495,8643,12,164,3091,6673
117,Lulu,4,14,True,0,1,10,19823,5457,10,11,3853,2055
