champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
114,Fiora,12,14,False,3,14,2,156101,12960,16,195,3153,3074
777,Yone,4,14,False,10,7,3,192818,15820,17,239,3031,3065
74,Heimerdinger,4,14,False,5,6,10,46069,10427,15,43,2055,3157
30,Karthus,3,4,False,10,9,3,170918,14234,17,211,6653,3157
121,Khazix,11,4,False,4,6,10,166872,12398,16,42,3142,1036
164,Camille,12,14,True,7,11,11,135733,13216,17,161,3053,0
497,Rakan,3,4,True,4,3,19,33747,9731,15,36,3107,3158
69,Cassiopeia,4,14,True,12,10,5,178587,16150,18,228,2420,3040
11,MasterYi,11,4,True,12,5,5,160207,13172,15,26,6691,2031
21,MissFortune,4,7,True,7,3,14,281101,16776,18,297,6672,3072
268,Azir,12,4,False,3,5,4,56535,6347,11,122,2033,1056
107,Rengar,11,4,False,6,4,1,73692,6431,10,15,3134,6029
412,Thresh,4,14,False,0,4,4,11288,3413,7,20,3009,3855
78,Poppy,4,12,False,1,2,4,50465,5499,11,108,2033,6662
30,Karthus,3,4,False,1,3,3,49060,5401,9,109,1056,6653
39,Irelia,4,12,True,1,3,2,63841,6332,11,133,3047,2033
203,Kindred,11,4,True,6,1,7,102308,8534,11,12,6676,6672
112,Viktor,4,12,True,3,4,3,45341,5586,11,93,2031,6653
236,Lucian,7,4,True,7,3,5,69221,9150,11,134,6671,3508
201,Braum,3,4,True,1,0,12,9872,4508,8,22,3855,3111
30,Karthus,3,4,True,10,3,9,105342,11370,13,167,3135,2031
164,Camille,14,12,True,16,1,9,136765,15463,15,160,3074,3053
56,Nocturne,4,11,True,8,2,12,130094,10776,13,19,3053,6631
61,Orianna,4,12,True,7,6,13,73683,9347,12,113,2033,6655
526,Rell,14,4,True,3,5,14,25554,7038,10,40,3860,3190
5,XinZhao,11,4,False,1,11,7,68117,5754,10,20,6630,3047
58,Renekton,4,12,False,4,9,2,67338,7794,11,121,3044,1037
69,Cassiopeia,4,3,False,6,4,2,82574,9066,13,154,6653,2031
12,Alistar,14,4,False,1,11,9,14968,5084,9,23,2031,3860
268,Azir,4,12,False,5,9,5,73273,8252,12,129,2421,6655
81,Ezreal,4,7,True,3,6,7,81411,7711,12,116,3042,6632
103,Ahri,14,4,True,6,4,11,87226,10181,13,145,6656,3157
98,Shen,4,14,True,0,2,13,22699,6547,12,36,3857,3190
245,Ekko,11,4,True,21,0,7,204487,15821,15,39,3152,3157
164,Camille,4,12,True,5,5,5,64132,9260,13,125,3748,3051
64,LeeSin,11,4,False,1,5,7,91163,6758,11,12,6630,2031
25,Morgana,4,14,False,0,6,7,14910,5114,9,23,3853,3020
