champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
238,Zed,4,12,True,8,2,5,209853,14846,18,262,3142,0
24,Jax,4,12,True,3,10,4,201927,13040,16,227,6333,8001
115,Ziggs,4,7,True,2,5,11,216518,13340,15,245,3089,6655
40,Janna,4,3,True,6,3,12,26365,10659,15,15,2421,4643
60,Elise,4,11,True,12,3,8,170952,14057,16,44,4636,3135
68,Rumble,4,14,False,9,5,2,142748,12059,15,206,1052,4636
111,Nautilus,4,14,False,1,7,6,25932,6962,13,46,3050,3860
121,Khazix,4,11,False,4,6,11,170920,11624,14,43,3111,3142
23,Tryndamere,6,4,False,6,7,9,180573,13125,16,202,3031,6671
236,Lucian,7,4,False,3,6,4,114605,10769,14,225,1037,2055
145,Kaisa,4,13,False,15,7,20,90074,15788,18,44,3020,6655
166,Akshan,32,4,False,12,16,19,71479,15940,18,57,3184,3042
76,Nidalee,4,32,False,3,12,27,44161,12662,18,24,4636,3020
110,Varus,4,6,False,17,8,21,151345,18068,18,107,6035,3142
22,Ashe,3,4,False,3,13,36,69191,13511,18,47,4005,3042
89,Leona,4,32,True,5,9,37,44224,15354,18,31,3047,3068
161,Velkoz,3,4,True,12,8,22,74133,15738,18,61,3112,3083
121,Khazix,32,4,True,23,12,15,100491,18782,18,72,3053,3142
526,Rell,32,4,True,5,12,31,47055,14028,18,29,3068,3047
1,Annie,4,32,True,11,10,21,53725,15408,18,48,6655,3157
15,Sivir,4,13,True,15,8,33,81715,14607,18,62,6691,3133
98,Shen,32,4,True,4,10,35,25454,11678,17,10,2051,3001
117,Lulu,32,4,True,7,7,40,33193,12682,18,22,3112,3222
498,Xayah,4,7,True,17,8,24,81026,15087,17,61,3006,6673
268,Azir,21,4,True,14,6,35,80120,14902,18,62,4633,2421
236,Lucian,4,6,False,15,9,8,95861,14837,17,73,3006,6673
54,Malphite,32,4,False,6,12,16,47926,11411,17,28,8001,3047
53,Blitzcrank,4,32,False,2,13,16,39683,10485,16,17,4629,2421
8,Vladimir,4,6,False,6,12,16,61899,11804,16,49,3158,4633
64,LeeSin,32,4,False,10,11,18,49747,13524,18,40,6630,3133
50,Swain,32,4,False,7,15,33,71610,14743,18,26,3157,3020
56,Nocturne,4,32,False,15,13,28,61058,16413,18,41,3193,3075
238,Zed,4,32,False,24,14,37,123245,20394,18,92,6691,6694
30,Karthus,32,4,False,12,21,51,149090,18681,18,87,3157,6653
121,Khazix,4,32,False,24,13,32,115845,19414,18,59,3042,3158
150,Gnar,4,32,True,13,12,34,109612,18379,18,64,3047,6632
164,Camille,32,4,True,14,20,36,112974,17891,18,53,3078,8001
20,Nunu,4,32,True,14,17,43,103843,17696,18,45,3020,4636
429,Kalista,4,6,True,14,16,26,149017,18438,18,106,3006,3091
555,Pyke,32,4,True,21,17,19,46395,20375,18,20,6693,3047
53,Blitzcrank,4,14,True,3,1,6,16773,5389,8,28,3859,3190
68,Rumble,12,4,True,3,1,0,54451,6486,10,116,2031,3191
18,Tristana,7,4,True,5,0,3,65132,7460,9,112,6671,3006
555,Pyke,4,12,True,2,1,4,23169,5580,9,60,6691,2031
32,Amumu,11,4,True,6,1,6,89899,7983,10,27,3047,2031
76,Nidalee,4,11,False,1,2,1,45457,4279,8,11,0,2031
166,Akshan,4,14,False,1,3,3,45352,5294,9,99,1055,0
29,Twitch,4,14,False,1,7,1,10850,3444,6,8,1043,3851
164,Camille,12,4,False,0,2,0,17954,3432,8,65,2031,1054
110,Varus,4,7,False,1,5,1,31360,4919,9,89,3142,1036
497,Rakan,4,14,True,1,9,21,35645,10640,15,54,3067,3157
875,Sett,4,12,True,15,6,4,239400,19575,18,246,3047,3026
154,Zac,4,11,True,4,2,10,196436,13742,17,48,6662,3143
202,Jhin,7,4,True,4,6,16,234383,15179,18,227,6671,0
245,Ekko,4,12,True,14,8,8,325453,19921,18,237,3152,3157
523,Aphelios,4,7,False,11,6,10,364707,19074,18,317,3031,3091
30,Karthus,4,11,False,5,9,16,235422,13623,18,43,6653,3157
40,Janna,14,4,False,2,8,21,25925,10322,16,24,3853,3158
166,Akshan,4,14,False,10,7,3,216570,16731,18,252,6671,3124
266,Aatrox,12,4,False,3,8,8,170125,12739,17,237,6630,3047
523,Aphelios,4,3,False,8,11,12,67418,12962,17,56,6673,6676
69,Cassiopeia,7,4,False,6,11,8,45447,11897,16,34,3112,3040
497,Rakan,4,32,False,4,7,24,32799,12451,18,13,3111,4629
81,Ezreal,7,4,False,6,9,15,66489,12674,17,52,6632,3042
62,MonkeyKing,4,32,False,12,9,9,64888,13993,17,64,3053,6632
28,Evelynn,32,4,True,11,3,19,48523,14144,18,44,6655,3100
141,Kayn,4,32,True,3,9,23,69870,12474,17,52,6630,6333
110,Varus,4,3,True,13,8,20,84144,14309,18,64,3042,6609
11,MasterYi,4,6,True,6,8,17,43843,12290,17,27,1036,1036
1,Annie,4,32,True,14,8,25,63725,15493,18,48,6653,3158
36,DrMundo,4,32,False,3,11,13,30414,9471,14,26,6662,1011
234,Viego,32,4,False,2,11,9,25724,8792,13,22,6632,3153
41,Gangplank,32,4,False,7,10,14,59833,10984,15,41,6691,3158
15,Sivir,13,4,False,9,9,16,72773,11918,15,49,3184,3508
131,Diana,4,32,False,11,11,12,52168,11482,15,31,1026,1052
268,Azir,7,4,True,4,7,27,46576,10511,15,37,6653,3006
254,Vi,32,4,True,12,9,12,23502,11153,15,7,3177,6632
777,Yone,4,32,True,15,4,19,86248,13553,17,69,3006,6333
90,Malzahar,13,4,True,5,7,31,39849,11301,16,48,3116,6653
432,Bard,4,32,True,16,5,23,39142,12753,17,11,4636,3020
412,Thresh,4,32,True,5,8,23,24986,12847,17,11,3068,3111
84,Akali,4,32,True,15,10,17,57941,15200,18,22,3157,4633
37,Sona,32,4,True,12,8,35,23107,14840,18,7,3040,1028
523,Aphelios,21,4,True,2,6,29,120411,14242,18,107,3184,6673
360,Samira,4,21,True,18,8,15,125775,17780,18,114,6673,3111
222,Jinx,7,4,False,10,10,16,101403,14576,18,100,3184,6672
245,Ekko,4,32,False,11,11,18,57631,14159,18,26,3020,3152
83,Yorick,32,4,False,5,16,11,30813,12460,17,26,6632,3111
7,Leblanc,4,32,False,9,7,17,66353,14891,18,49,6655,3157
115,Ziggs,21,4,False,5,8,24,107852,13592,18,57,3070,6653
222,Jinx,7,4,True,6,10,22,98284,13494,17,79,3184,3006
555,Pyke,4,32,True,23,6,13,50452,17922,17,27,3111,3142
267,Nami,7,4,True,3,10,41,26972,11885,17,15,6617,3158
145,Kaisa,4,32,True,7,5,35,53140,13687,17,30,6655,2031
238,Zed,32,4,True,13,9,16,50084,13631,17,31,6691,3158
25,Morgana,32,4,False,3,10,16,25759,10472,16,22,6653,3157
161,Velkoz,4,3,False,5,10,17,43883,11864,16,24,3157,3040
777,Yone,4,32,False,7,10,16,69103,13332,17,72,3006,6673
131,Diana,32,4,False,18,13,7,62829,13819,17,26,6655,3916
240,Kled,4,32,False,6,9,16,29034,11702,16,29,3047,3053
