champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
133,Quinn,4,12,False,7,5,6,180650,13755,16,184,1055,6672
64,LeeSin,4,11,False,5,11,4,99426,9539,12,25,3111,3053
63,Brand,14,4,False,1,14,4,36657,6669,9,30,3853,6655
223,TahmKench,4,12,False,7,9,0,95680,10972,14,132,1054,3111
22,Ashe,4,7,False,1,2,8,92004,8139,13,131,1036,3006
555,Pyke,4,14,True,7,4,9,32673,10537,12,35,2420,6691
45,Veigar,21,4,True,10,3,7,157002,12132,16,188,2424,3089
20,Nunu,4,11,True,7,3,17,140091,11035,14,11,3083,3076
51,Caitlyn,7,4,True,7,6,10,180652,13459,15,195,1055,6672
150,Gnar,12,4,True,10,5,11,108132,12082,15,133,3143,1055
887,Gwen,12,3,True,4,4,7,77549,8139,13,110,1055,2031
5,XinZhao,4,11,True,15,2,9,136707,13349,13,51,3047,3053
202,Jhin,7,4,True,8,6,12,60601,8805,11,93,6671,1055
223,TahmKench,4,12,True,7,5,13,51584,8598,13,76,1054,6662
526,Rell,4,3,True,3,5,17,23546,6679,11,30,3860,3076
101,Xerath,4,12,False,1,7,6,57881,5789,11,84,1056,2031
203,Kindred,11,4,False,10,12,2,95450,9145,11,24,6672,2031
360,Samira,4,1,False,4,5,4,42375,7778,11,90,1055,6673
111,Nautilus,14,4,False,2,7,5,28406,5754,10,44,3855,3047
84,Akali,14,12,False,4,8,1,85994,7919,13,141,1056,4633
17,Teemo,4,14,True,1,1,2,51139,5567,11,126,1056,4633
59,JarvanIV,4,11,True,6,1,4,82574,7919,10,29,3111,2031
29,Twitch,14,4,True,3,3,3,37504,5510,9,82,1056,3115
45,Veigar,4,12,True,3,2,4,29927,5334,9,73,3070,6656
412,Thresh,4,7,True,2,2,8,14225,4686,9,32,3855,3117
134,Syndra,4,14,False,2,3,0,48702,4955,10,105,1056,3070
99,Lux,3,4,False,2,3,4,10113,4494,8,8,2424,3851
110,Varus,7,4,False,2,4,5,41777,5671,9,98,1055,6692
104,Graves,4,12,False,0,2,1,47717,4555,10,106,6670,1053
32,Amumu,4,11,False,3,3,0,51647,4999,9,5,3068,2031
497,Rakan,4,14,False,1,9,18,23706,7803,13,36,3860,3107
234,Viego,4,11,False,11,7,10,154673,14493,15,46,3047,3053
29,Twitch,14,4,False,2,10,7,155642,11905,15,174,3089,3115
150,Gnar,4,12,False,3,7,6,112886,9700,14,151,3053,1028
523,Aphelios,4,7,False,11,10,8,129033,12971,14,151,6673,3031
119,Draven,4,3,True,20,8,6,267088,21197,17,202,6695,6673
53,Blitzcrank,4,14,True,1,8,17,28193,9437,14,35,3050,3857
91,Talon,14,4,True,11,1,6,214302,16346,18,245,3158,6630
64,LeeSin,4,11,True,8,5,7,142431,12055,15,18,3047,6630
85,Kennen,4,12,True,3,6,6,125757,12273,17,167,3157,3152
127,Lissandra,14,4,False,1,11,12,126031,10265,15,171,3157,6656
58,Renekton,12,4,False,12,8,5,173672,16632,17,221,3071,6630
236,Lucian,7,4,False,7,12,7,154356,13019,15,180,3031,6672
555,Pyke,4,14,False,5,9,6,21561,10514,12,49,3857,6693
121,Khazix,11,14,False,8,12,9,153492,12287,15,18,6691,3158
32,Amumu,4,11,True,4,4,18,134769,12120,17,33,3068,3047
235,Senna,4,14,True,10,5,29,64081,15673,16,26,6632,3042
517,Sylas,4,12,True,18,9,11,142252,16563,17,160,3020,3157
72,Skarner,12,4,True,1,10,12,93388,9585,15,89,3068,3075
166,Akshan,4,7,True,19,5,11,129814,16104,16,131,6672,6676
64,LeeSin,4,11,False,1,6,6,58309,5207,9,18,0,6630
16,Soraka,4,14,False,0,6,12,9104,4641,8,7,3853,0
13,Ryze,4,12,False,4,3,3,74435,6276,11,126,1001,6656
120,Hecarim,14,12,False,4,6,0,43374,5902,10,79,3078,3076
202,Jhin,4,7,False,5,3,5,46350,5902,9,75,6671,3009
350,Yuumi,14,3,True,1,3,8,7018,5032,9,1,6617,1052
23,Tryndamere,14,4,True,9,0,0,136070,11966,13,133,6675,3006
67,Vayne,7,4,True,5,5,4,63335,7437,9,107,6672,3006
90,Malzahar,12,4,True,6,3,5,80108,7403,11,116,1056,3020
154,Zac,11,4,True,3,3,7,61392,6412,9,6,3068,2031
497,Rakan,4,14,False,1,3,4,9808,3651,7,21,3859,2055
64,LeeSin,11,4,False,2,3,4,62146,5369,9,7,2055,0
498,Xayah,4,7,False,2,7,2,31953,4926,8,80,2031,6671
245,Ekko,4,14,False,1,1,1,47255,4468,9,93,1056,1026
266,Aatrox,4,12,False,3,4,1,49957,5747,10,105,6630,2031
235,Senna,4,7,True,3,1,8,61303,7043,10,130,1055,2031
37,Sona,3,4,True,4,2,12,12808,5660,9,3,3853,3070
121,Khazix,11,4,True,5,1,4,70983,6511,10,5,1001,2055
517,Sylas,12,4,True,5,2,4,53046,6320,10,111,1056,6656
6,Urgot,4,12,True,1,3,4,56374,6148,11,121,1055,1037
39,Irelia,12,4,False,0,7,2,72332,5837,11,139,3153,0
18,Tristana,4,7,False,3,2,4,85860,8453,11,156,6672,3006
89,Leona,4,14,False,0,3,7,15568,4564,9,29,3190,3860
8,Vladimir,6,4,False,4,2,1,75002,7202,12,139,3152,2031
234,Viego,11,4,False,1,5,2,87738,6043,11,38,6632,3047
523,Aphelios,4,1,True,4,2,8,130030,10795,13,189,6673,6676
245,Ekko,4,14,True,8,1,2,128833,11437,14,172,3100,3152
164,Camille,14,12,True,1,1,5,55937,7353,12,108,2031,1055
121,Khazix,11,4,True,3,2,3,117407,8336,12,26,6691,3158
44,Taric,4,14,True,3,2,8,33065,6925,10,34,3860,3190
238,Zed,4,14,False,2,4,0,50483,5393,10,104,1036,2031
202,Jhin,7,4,False,1,1,0,49743,4542,8,103,1018,0
92,Riven,12,4,False,0,3,0,33842,3915,9,85,1055,3067
28,Evelynn,4,11,False,0,1,1,48131,3865,9,1,3145,1026
50,Swain,4,14,False,0,4,1,12455,3216,7,9,3851,1001
22,Ashe,7,4,True,4,0,4,51761,6743,9,110,6673,3051
8,Vladimir,4,14,True,2,1,4,49854,6155,11,115,3152,3020
234,Viego,11,4,True,4,0,1,68173,6486,10,19,6632,2031
48,Trundle,4,12,True,3,1,3,39547,6039,10,114,2031,6632
497,Rakan,4,14,True,0,1,4,13656,3809,7,26,3859,3067
81,Ezreal,4,7,False,1,4,4,37423,4669,8,98,1055,3057
39,Irelia,14,4,False,2,5,0,65166,6127,10,126,1055,1036
114,Fiora,4,12,False,3,9,2,30705,5447,9,61,1001,6630
235,Senna,4,3,False,0,2,6,12439,3938,7,5,3863,3067
28,Evelynn,4,11,False,3,3,3,56208,5914,9,8,3152,2031
238,Zed,4,14,True,6,1,2,55969,6581,11,101,6692,2031
201,Braum,4,14,True,2,2,11,13783,4979,8,23,3855,3190
119,Draven,4,3,True,4,3,3,68053,7655,10,125,1055,6673
76,Nidalee,11,4,True,5,2,5,87539,7078,10,8,4636,3020
164,Camille,14,12,True,6,1,1,51698,7517,11,98,0,1055
