champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
89,Leona,14,4,False,2,6,3,16100,6411,10,46,3190,3857
360,Samira,4,7,False,0,9,0,74963,7582,11,170,6673,2031
876,Lillia,4,11,False,4,9,3,137656,8725,12,30,6653,3157
23,Tryndamere,6,4,False,3,5,2,118303,9538,14,154,1054,6672
518,Neeko,12,4,False,1,3,2,94337,7781,12,172,3020,2033
59,JarvanIV,4,11,True,6,3,19,108285,11004,14,18,3111,0
82,Mordekaiser,4,14,True,12,1,6,100260,11406,14,142,3111,2420
875,Sett,12,4,True,5,1,4,106926,9976,15,153,6630,1055
432,Bard,3,4,True,5,1,17,23579,8071,13,5,2055,3190
202,Jhin,4,1,True,4,4,11,122658,10834,13,174,3031,6671
166,Akshan,4,7,False,4,5,8,108252,11265,14,150,1055,6672
92,Riven,4,12,False,1,8,4,138213,10985,15,208,1055,3071
141,Kayn,4,11,False,9,10,8,199207,12971,16,44,6693,6695
157,Yasuo,4,14,False,12,7,5,198576,15950,16,193,1038,6673
555,Pyke,14,4,False,2,10,9,17954,7672,13,40,3123,3857
64,LeeSin,4,11,True,11,7,11,172352,14729,17,48,3026,3076
134,Syndra,12,4,True,8,8,12,145134,13750,17,201,3020,2055
523,Aphelios,7,4,True,9,5,16,127113,14100,16,167,2421,6673
54,Malphite,4,12,True,8,2,14,154874,13039,17,174,3047,3068
117,Lulu,3,4,True,4,6,23,15897,9529,14,9,0,2065
53,Blitzcrank,4,14,False,2,5,5,15836,5484,9,28,3117,3190
517,Sylas,4,12,False,1,7,7,46815,5933,11,101,2033,6656
131,Diana,4,11,False,2,4,8,108786,7635,11,22,3916,3108
110,Varus,4,7,False,4,3,1,68545,6739,11,136,3042,3035
19,Warwick,4,21,False,5,4,3,55522,7671,12,124,1055,6632
223,TahmKench,14,12,True,5,3,6,50925,6627,12,90,3105,8001
69,Cassiopeia,12,4,True,1,2,7,65996,6834,12,146,3070,2031
30,Karthus,4,3,True,2,4,14,28821,6325,10,25,0,3853
202,Jhin,4,7,True,8,0,4,89081,9617,12,158,1055,3036
120,Hecarim,6,11,True,7,5,7,121296,8811,12,22,3111,3078
432,Bard,7,4,True,4,4,25,23348,8934,12,27,3853,3190
107,Rengar,14,4,True,8,3,7,87788,10410,13,129,6632,2420
59,JarvanIV,4,11,True,7,2,11,104346,8814,12,11,6630,3047
38,Kassadin,14,4,True,12,4,7,86849,11080,13,120,6655,3157
115,Ziggs,4,12,True,9,4,15,135413,12180,12,136,3020,1058
42,Corki,4,7,False,4,9,3,93471,8546,12,147,6673,3026
89,Leona,14,4,False,2,9,5,18691,5801,9,25,0,3860
154,Zac,4,11,False,2,7,6,66677,6207,10,22,6662,3076
164,Camille,14,12,False,3,9,4,53812,6912,11,93,1055,6632
236,Lucian,14,4,False,6,7,3,98163,9672,13,141,3047,3508
7,Leblanc,4,12,True,10,3,15,90161,11694,15,136,3108,2033
163,Taliyah,4,11,True,10,7,9,152070,12289,15,55,3165,2421
67,Vayne,7,4,True,13,6,7,90975,12970,14,129,3026,3006
126,Jayce,12,4,True,9,8,7,176010,13812,15,172,6692,3042
89,Leona,14,4,True,4,5,20,28325,8681,13,33,3047,3857
517,Sylas,4,12,False,6,7,10,82244,10006,14,125,6656,3157
236,Lucian,4,7,False,8,11,4,96721,11333,13,160,1055,3031
27,Singed,6,12,False,2,7,9,107830,9383,13,136,1082,3111
555,Pyke,4,14,False,8,17,6,20186,11739,11,30,3117,3855
106,Volibear,11,4,False,5,5,14,78456,8991,13,17,6632,3111
59,JarvanIV,4,11,True,6,2,6,117527,10134,13,19,3053,6630
432,Bard,4,3,True,3,2,10,27019,7608,11,19,3067,3190
22,Ashe,1,4,True,3,2,10,82596,8982,13,159,6673,2031
85,Kennen,12,4,True,2,6,4,62131,7447,13,112,3152,2420
157,Yasuo,4,1,True,7,2,3,141360,10920,14,174,6673,3031
110,Varus,4,7,False,2,4,3,81478,8875,11,150,1055,2422
497,Rakan,14,4,False,1,6,5,18866,5522,10,35,2065,3860
164,Camille,12,4,False,6,3,3,88398,9809,14,159,3047,6632
127,Lissandra,12,4,False,2,6,4,90204,7893,12,173,1056,6656
64,LeeSin,4,11,False,3,2,4,116062,7949,12,18,3047,6630
141,Kayn,4,32,True,18,10,12,86337,16209,18,76,6630,3042
64,LeeSin,32,4,True,3,13,21,43353,11684,17,29,6630,6333
54,Malphite,32,4,True,5,10,23,43911,12782,18,38,3024,3068
432,Bard,4,32,True,9,7,16,38056,12500,18,17,4636,3100
8,Vladimir,6,32,True,12,7,16,87017,14318,18,52,3112,4630
40,Janna,3,4,False,5,10,36,45304,12137,18,27,4629,3165
875,Sett,4,32,False,12,7,25,99758,14558,18,78,6333,6630
41,Gangplank,4,14,False,18,8,19,134300,16070,18,79,3042,3508
81,Ezreal,6,4,False,7,13,23,67086,11984,16,31,3078,3042
497,Rakan,32,4,False,5,9,32,20603,11302,17,5,3020,6656
147,Seraphine,4,14,False,3,10,24,161401,12159,17,118,4005,3011
69,Cassiopeia,4,12,False,6,10,14,156722,13330,17,218,3040,6653
60,Elise,11,4,False,17,12,20,124038,15018,17,31,4636,3165
57,Maokai,12,4,False,5,15,20,118915,12607,17,166,6632,3143
202,Jhin,4,7,False,13,8,16,178339,18072,17,202,3009,6671
82,Mordekaiser,12,4,True,12,9,5,245923,17002,18,221,4633,4637
104,Graves,4,11,True,14,12,10,316641,18347,18,97,6692,6676
37,Sona,14,4,True,10,11,15,47162,11893,16,80,1058,3100
22,Ashe,7,4,True,10,7,15,222542,16953,18,211,3035,3124
350,Yuumi,14,3,True,9,6,25,59019,13817,17,16,3041,6655
115,Ziggs,7,4,True,9,3,23,54829,10030,14,14,6653,3020
202,Jhin,4,7,True,4,1,23,33808,9162,14,27,2031,6671
266,Aatrox,4,32,True,9,4,23,30067,10182,14,22,6630,3044
16,Soraka,13,4,True,1,3,27,9718,8294,14,1,2051,3070
777,Yone,4,32,True,14,3,14,71759,12140,14,87,3031,3111
19,Warwick,4,3,False,1,9,5,18100,7284,12,20,6632,3047
63,Brand,4,7,False,4,8,8,36829,8828,12,28,6655,3020
82,Mordekaiser,32,4,False,3,6,5,22401,7807,12,30,2051,1006
104,Graves,4,32,False,3,8,5,36535,8862,12,39,6692,3158
42,Corki,4,1,False,3,6,8,43946,8803,13,38,6632,3020
63,Brand,4,21,False,2,6,13,34174,9267,14,11,6653,3020
86,Garen,4,32,False,10,7,5,49755,12915,15,66,6631,3053
3,Galio,32,4,False,2,9,6,29701,8808,14,21,3111,3001
523,Aphelios,4,1,False,6,7,11,37871,11039,14,43,3184,3006
145,Kaisa,4,21,False,2,7,12,37619,9197,13,30,6655,3020
37,Sona,4,3,True,1,3,32,8040,9862,16,4,6617,3070
112,Viktor,6,4,True,14,4,15,65240,12773,16,60,6653,4629
142,Zoe,4,14,True,10,5,16,45666,11242,16,34,6655,4628
72,Skarner,32,4,True,2,7,15,13381,9127,14,7,6664,3111
29,Twitch,1,4,True,9,3,17,66162,12177,15,68,3184,6672
