champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
48,Trundle,32,4,True,13,13,42,115512,16766,18,55,6632,3111
105,Fizz,32,4,True,12,10,20,41905,14566,18,25,2421,3135
166,Akshan,7,4,True,16,11,25,107509,17625,18,93,3006,3124
64,LeeSin,32,4,True,9,16,43,62974,15466,18,20,3053,3111
106,Volibear,32,4,True,9,10,37,97860,15939,18,53,3105,3075
10,Kayle,7,4,False,12,14,33,122601,15998,18,85,3115,3006
58,Renekton,4,32,False,12,13,29,107279,16419,18,100,3065,3047
7,Leblanc,4,32,False,17,11,33,86252,16098,18,27,6655,3157
412,Thresh,4,32,False,8,9,39,30886,13941,18,13,3047,3190
111,Nautilus,14,4,False,11,12,35,61636,14644,18,24,3075,3111
134,Syndra,32,4,False,6,12,13,38453,11041,15,29,6655,3157
498,Xayah,7,4,False,3,14,8,32909,9721,14,39,6673,3006
82,Mordekaiser,4,32,False,11,11,9,42267,11948,15,38,4633,3020
18,Tristana,4,7,False,4,9,11,37931,9927,15,26,3006,6671
81,Ezreal,4,13,False,4,7,13,51308,10573,15,36,6691,3158
50,Swain,4,32,True,7,6,24,43752,11188,16,36,3157,3020
98,Shen,4,32,True,9,4,30,41171,12681,17,38,2051,1057
121,Khazix,4,32,True,17,5,15,36635,13285,17,20,3042,6695
41,Gangplank,4,32,True,16,6,11,68662,12399,16,36,3508,6691
33,Rammus,4,32,True,4,7,22,33222,10692,16,30,3068,3047
39,Irelia,14,4,True,2,13,15,88664,11527,17,51,3153,3111
39,Irelia,4,12,True,5,13,17,180950,16895,18,116,6632,3111
39,Irelia,4,14,True,27,9,3,208012,27450,18,137,3053,6630
39,Irelia,4,12,True,7,8,13,167268,17163,18,108,3091,3153
39,Irelia,4,12,True,3,12,16,87653,12583,17,57,1055,3153
32,Amumu,4,14,False,10,14,17,81404,15152,18,65,3157,4633
32,Amumu,4,14,False,8,8,19,104864,14196,18,80,3068,3001
32,Amumu,14,4,False,12,8,18,92987,16987,18,59,4633,3047
32,Amumu,4,12,False,9,9,13,97749,15212,18,74,3075,4637
32,Amumu,4,3,False,16,5,20,111235,20984,18,106,3075,4637
150,Gnar,6,4,True,2,5,6,53097,9214,14,44,6632,3111
150,Gnar,4,12,True,15,3,11,178670,18867,18,97,3006,3091
150,Gnar,4,3,True,7,6,8,110916,13068,16,67,6672,3006
150,Gnar,4,6,True,6,7,10,58472,11433,15,38,0,3153
150,Gnar,4,14,True,6,4,4,99735,12796,16,91,1055,6632
31,Chogath,4,12,False,2,4,11,81131,10370,15,92,3110,3143
31,Chogath,12,4,False,6,7,8,43150,10089,14,33,3020,6656
31,Chogath,4,12,False,5,9,7,57066,9988,14,54,3742,6662
31,Chogath,4,3,False,10,5,1,76142,15411,16,84,3075,3066
31,Chogath,7,4,False,2,11,6,47180,8452,14,43,3094,1001
30,Karthus,4,32,False,14,14,27,79544,18143,18,41,6653,3020
5,XinZhao,32,4,False,7,12,14,38371,14587,18,27,3078,3031
34,Anivia,3,4,False,11,9,21,143861,18119,18,125,6653,3040
29,Twitch,7,4,False,17,13,24,114937,18715,18,95,6671,3033
50,Swain,32,4,False,13,13,25,66710,16687,18,28,6656,3157
22,Ashe,7,4,True,6,10,35,73405,16540,18,39,4005,3042
143,Zyra,4,21,True,10,13,25,99300,17134,18,73,6655,3020
