champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
6,Urgot,4,12,True,12,3,10,186266,15849,17,222,3748,6631
61,Orianna,4,12,True,3,5,19,132550,11902,16,181,3108,3135
104,Graves,14,11,True,11,5,7,230260,15526,16,84,0,3123
432,Bard,4,3,True,2,2,23,32849,9367,15,15,3853,2065
523,Aphelios,7,4,True,7,6,7,108584,12768,15,169,6676,6673
4,TwistedFate,12,4,False,3,7,4,142579,11811,14,168,6656,2033
107,Rengar,14,4,False,4,9,2,157676,12760,15,207,6630,3157
267,Nami,7,4,False,2,5,13,19259,8210,13,8,4005,3853
102,Shyvana,11,4,False,4,8,6,177022,10895,14,46,3115,4629
67,Vayne,4,21,False,8,6,6,199428,14883,15,228,3091,3143
6,Urgot,4,14,False,4,3,0,97684,8822,14,167,1055,3047
78,Poppy,14,4,False,1,3,3,15236,4429,9,26,3009,3855
29,Twitch,4,3,False,2,5,2,76725,7541,10,157,1055,3123
20,Nunu,11,4,False,1,3,3,81514,5863,11,11,3068,3076
34,Anivia,14,4,False,1,3,1,76893,6542,12,150,1056,2031
350,Yuumi,14,3,True,0,2,9,6841,4955,9,2,3853,6617
4,TwistedFate,12,4,True,2,0,6,84076,8556,13,162,6656,2423
266,Aatrox,4,12,True,5,3,1,117743,8970,14,175,6630,1054
2,Olaf,4,11,True,6,3,4,126412,9144,12,16,6630,2031
202,Jhin,4,7,True,4,1,5,104113,8528,11,178,6671,2031
61,Orianna,12,4,False,1,6,1,78646,6313,11,147,6653,1056
53,Blitzcrank,14,4,False,0,4,5,13877,4784,9,33,3860,2055
119,Draven,4,7,False,2,5,0,80259,7209,10,146,1055,1018
154,Zac,11,4,False,2,5,1,87080,6191,10,10,3068,2031
39,Irelia,4,12,False,1,7,0,70922,6025,11,142,2033,2010
29,Twitch,4,3,True,3,2,4,61045,7054,11,119,2031,3115
106,Volibear,11,4,True,10,0,8,99952,10051,13,24,6632,3047
40,Janna,7,4,True,1,1,11,13767,5836,10,37,3859,2065
59,JarvanIV,12,4,True,6,0,11,70488,8667,13,124,6630,2033
42,Corki,12,4,True,7,3,8,138540,11831,14,193,3020,1018
22,Ashe,4,7,True,10,6,15,279892,20530,18,310,3091,6673
69,Cassiopeia,12,4,True,5,10,8,152664,13552,16,182,3157,2055
245,Ekko,4,11,True,9,6,8,304978,16310,18,76,3152,0
53,Blitzcrank,14,4,True,3,8,17,32356,10367,16,37,3047,3190
150,Gnar,12,4,True,4,5,11,257027,16613,18,289,3053,3026
235,Senna,7,4,False,3,7,19,199140,14910,17,238,3009,6672
62,MonkeyKing,4,12,False,14,5,7,231314,19165,18,282,6630,3026
12,Alistar,4,14,False,2,7,20,23336,9876,14,27,4643,3190
104,Graves,4,11,False,5,6,10,364227,16942,18,109,3111,6692
7,Leblanc,12,4,False,11,6,18,206297,17492,18,202,6655,3108
80,Pantheon,14,4,False,4,7,5,76778,8377,12,146,6631,2033
117,Lulu,7,4,False,1,4,10,13512,6414,11,26,2065,3158
11,MasterYi,4,11,False,5,4,5,151239,10213,13,30,3035,2055
21,MissFortune,4,7,False,1,7,5,101042,8692,12,190,1055,6672
31,Chogath,4,12,False,1,4,1,115737,8757,14,197,1054,4637
92,Riven,12,4,True,4,1,7,98523,10108,15,166,1031,6630
523,Aphelios,4,7,True,11,4,12,171794,13802,14,190,3036,2421
61,Orianna,4,12,True,0,3,5,119670,9281,14,207,1056,3020
120,Hecarim,11,6,True,9,0,6,184637,12459,15,27,6632,3044
412,Thresh,14,4,True,2,4,20,20977,8138,13,28,2065,3222
163,Taliyah,4,11,True,13,6,13,127426,12623,14,34,6655,3165
55,Katarina,12,14,True,16,3,13,129607,14513,15,150,3153,3115
887,Gwen,14,12,True,8,6,13,73008,9762,14,94,4633,3047
110,Varus,4,7,True,2,4,10,136403,9804,14,176,1055,3046
16,Soraka,21,4,True,1,4,24,25621,7765,13,15,3107,2065
34,Anivia,4,14,False,5,11,4,68041,9345,13,99,3040,6653
33,Rammus,4,11,False,3,8,4,72960,8074,12,16,3111,2031
523,Aphelios,4,7,False,4,5,5,68281,8297,13,118,1055,6673
12,Alistar,14,4,False,3,8,5,25242,6991,11,31,1057,3859
166,Akshan,12,4,False,7,8,6,165389,12779,16,219,1055,6672
42,Corki,12,4,False,5,6,0,75973,8060,13,156,2033,6673
523,Aphelios,3,4,False,2,3,1,88977,9049,11,197,6673,3006
121,Khazix,11,4,False,2,4,2,111506,7713,12,18,3158,1036
126,Jayce,12,4,False,0,7,1,89203,7749,13,177,1055,3042
267,Nami,4,7,False,0,3,3,7881,4910,10,7,2065,3853
81,Ezreal,7,4,True,1,1,3,106704,8832,12,182,3508,2055
28,Evelynn,11,4,True,10,1,4,148021,10701,15,18,3089,3152
16,Soraka,4,3,True,1,2,8,7779,5568,11,6,3851,2055
236,Lucian,4,12,True,7,4,4,142078,11992,15,196,6671,2031
36,DrMundo,12,4,True,4,1,10,121452,11333,15,188,8001,3082
421,RekSai,11,4,False,5,4,4,107485,8988,12,19,6693,3814
24,Jax,12,4,False,3,6,4,92280,8949,13,150,2033,6632
517,Sylas,12,4,False,2,5,4,89861,7609,13,158,1082,3108
25,Morgana,14,4,False,1,5,5,12089,5629,9,28,3158,2424
21,MissFortune,4,7,False,1,4,5,71232,7877,12,184,6691,3042
526,Rell,4,14,True,3,2,8,17977,7018,11,28,3076,3860
202,Jhin,7,4,True,2,1,8,122586,9427,13,172,6671,3036
68,Rumble,4,14,True,12,4,3,119777,12769,14,167,3152,3157
104,Graves,11,4,True,2,2,14,167692,10671,15,38,3086,3134
4,TwistedFate,14,4,True,5,3,8,97652,10959,14,158,6656,2033
164,Camille,14,12,False,2,3,2,102462,8809,13,184,3074,3078
76,Nidalee,11,4,False,6,5,5,106272,8950,12,18,4636,3157
234,Viego,14,4,False,5,8,4,73830,7976,12,134,2055,3153
89,Leona,4,14,False,1,4,3,17680,5321,9,43,3857,2031
22,Ashe,4,7,False,1,3,2,65754,7025,10,136,1055,3006
64,LeeSin,4,11,True,4,3,12,106596,9112,13,14,2055,3067
201,Braum,14,4,True,1,1,14,21691,6549,11,27,3857,3190
39,Irelia,12,4,True,9,4,5,100718,10941,13,174,6673,3153
163,Taliyah,4,14,True,8,2,2,95927,9480,13,140,2055,1082
104,Graves,12,4,True,1,5,11,108872,9060,13,135,6676,6692
141,Kayn,4,11,False,2,6,2,99023,6648,10,29,3111,6630
85,Kennen,14,4,False,3,3,2,49928,6914,11,118,1055,1082
3,Galio,4,3,False,0,5,1,16090,4111,8,28,1033,3860
18,Tristana,1,4,False,1,5,0,66158,6269,10,131,3134,6672
875,Sett,12,4,False,1,6,3,88756,7902,12,134,2031,6630
80,Pantheon,4,14,True,11,0,5,90457,9767,13,138,3053,6631
22,Ashe,4,7,True,3,2,5,64381,8392,12,126,6673,3006
36,DrMundo,12,4,True,5,2,6,88910,9303,13,124,1054,6662
497,Rakan,4,3,True,0,1,16,9976,5871,10,6,3158,3853
131,Diana,4,11,True,6,2,10,152799,10859,13,26,3152,2421
