champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
126,Jayce,4,12,False,4,7,5,121267,10040,14,175,3042,6692
18,Tristana,3,4,False,3,7,3,101059,9578,11,158,1055,6672
154,Zac,12,4,False,1,11,3,66335,6573,11,99,1054,3158
37,Sona,7,4,False,1,6,6,12040,6320,10,12,3853,3067
64,LeeSin,11,4,False,3,10,5,89282,7108,11,20,3142,3134
432,Bard,4,14,True,1,2,25,24896,8184,13,14,8001,3190
164,Camille,12,14,True,9,5,7,83693,10795,13,104,1054,3053
48,Trundle,4,11,True,9,1,15,131521,12023,14,18,3047,3133
7,Leblanc,4,12,True,9,2,11,73666,10404,14,119,2033,3916
360,Samira,4,3,True,12,2,11,126419,13021,14,162,3047,2055
236,Lucian,4,3,True,18,8,10,217102,19474,17,235,6671,3026
75,Nasus,4,6,True,9,12,15,122127,14168,17,120,6632,3193
350,Yuumi,7,14,True,3,5,33,11543,11723,17,3,3011,3853
104,Graves,4,11,True,3,10,12,203846,12359,17,78,1001,6692
154,Zac,12,4,True,8,8,9,110036,12752,17,146,3082,3075
119,Draven,3,4,False,11,9,12,218720,16360,16,204,6673,6676
85,Kennen,12,4,False,6,10,12,149804,13286,17,192,3089,3152
111,Nautilus,14,4,False,4,9,22,36255,9745,15,44,3050,3860
136,AurelionSol,14,4,False,7,6,14,202151,14961,17,219,3020,6653
64,LeeSin,11,4,False,15,7,10,202215,15677,17,30,3142,3158
67,Vayne,4,7,True,14,6,4,226879,17304,17,226,3026,6673
105,Fizz,4,14,True,12,7,10,161869,16201,18,223,6655,3100
267,Nami,14,4,True,3,7,23,22061,10959,16,15,4643,3853
64,LeeSin,11,4,True,8,6,9,215765,13349,18,49,3142,6695
19,Warwick,4,21,True,5,8,7,139090,13367,18,194,8001,3110
246,Qiyana,14,4,False,6,8,5,166613,12930,16,192,6630,6694
360,Samira,4,7,False,4,11,9,155541,13258,15,225,6673,3035
43,Karma,14,4,False,6,8,19,49462,11518,14,28,3853,2065
23,Tryndamere,6,4,False,7,7,7,261442,16022,17,227,6675,6672
76,Nidalee,4,11,False,11,8,8,185274,14951,16,44,3020,3157
32,Amumu,32,4,True,5,11,30,29045,10876,16,18,2051,3068
75,Nasus,32,4,True,17,7,28,95438,14890,18,56,6632,3047
59,JarvanIV,32,4,True,14,8,38,62206,14094,17,43,3053,6333
134,Syndra,4,21,True,8,8,27,47967,11862,16,33,6655,3157
68,Rumble,32,4,True,14,9,31,62835,14366,17,34,4633,3116
115,Ziggs,3,4,False,3,11,18,85128,10707,16,31,3112,3020
64,LeeSin,32,4,False,12,11,22,50255,12035,16,9,6630,3111
39,Irelia,4,32,False,11,11,21,95039,14367,17,116,3053,6632
887,Gwen,6,14,False,13,12,17,64870,12108,16,22,4633,3115
360,Samira,32,4,False,4,13,18,41011,10220,15,28,3184,6673
245,Ekko,4,11,False,6,9,5,96662,8441,11,12,3115,3152
145,Kaisa,4,7,False,2,4,3,70553,8558,11,145,2031,3006
59,JarvanIV,12,4,False,7,8,6,60572,8096,11,99,3053,6630
432,Bard,3,4,False,2,5,7,19088,5607,10,36,3158,3859
13,Ryze,12,4,False,2,7,3,103198,7708,12,158,2031,6656
76,Nidalee,4,11,True,9,6,6,83358,9257,12,8,4636,2031
166,Akshan,4,3,True,13,3,4,100343,12306,14,163,6672,0
39,Irelia,14,4,True,6,3,8,106636,10722,13,181,1036,3051
412,Thresh,14,4,True,0,2,14,19391,5889,11,34,3190,3857
887,Gwen,4,12,True,5,5,3,97972,9360,12,142,1055,1082
48,Trundle,11,4,True,9,2,11,75154,9465,12,16,3047,2031
523,Aphelios,7,4,True,14,3,10,145625,14140,13,184,6673,3006
134,Syndra,4,14,True,1,4,7,99529,7423,12,149,2055,2031
25,Morgana,14,4,True,2,2,23,14370,7852,11,9,0,2065
92,Riven,12,4,True,5,5,3,85776,8875,13,127,3158,2031
41,Gangplank,12,4,False,5,3,4,101457,9392,13,159,1038,0
64,LeeSin,11,4,False,3,4,5,73512,7259,11,16,3142,3158
6,Urgot,4,12,False,5,7,2,68360,7702,12,115,1055,6692
497,Rakan,14,4,False,1,6,3,8078,4147,9,18,4642,3859
115,Ziggs,12,4,False,2,11,4,68805,6864,10,107,6653,2031
39,Irelia,4,12,False,2,3,2,73561,6936,12,142,3153,3057
119,Draven,4,7,False,0,4,4,62142,7192,11,141,6673,3006
55,Katarina,12,14,False,3,6,3,76637,7755,12,157,3020,1082
64,LeeSin,11,4,False,5,4,4,113934,9217,12,17,6692,2055
80,Pantheon,4,14,False,1,4,4,16569,5247,9,32,3857,2031
76,Nidalee,11,4,True,6,2,7,157076,10198,14,20,4636,3020
18,Tristana,4,3,True,5,2,3,107936,10185,13,174,6671,3046
37,Sona,4,7,True,2,2,12,20777,7204,11,34,1001,2065
147,Seraphine,3,4,True,4,3,9,55661,8159,12,82,3853,3070
164,Camille,12,14,True,4,2,4,106265,11505,14,200,1055,3047
245,Ekko,14,12,True,6,1,3,97977,9437,14,159,2033,0
15,Sivir,4,3,True,4,1,5,125315,10444,13,186,6673,3047
412,Thresh,4,14,True,1,2,12,20307,6535,11,35,3857,3190
240,Kled,12,4,True,4,4,4,100308,9461,14,164,3748,1055
76,Nidalee,4,11,True,6,2,6,144475,10237,14,26,4636,0
64,LeeSin,11,4,False,3,3,2,120803,7866,12,13,6693,3158
79,Gragas,12,4,False,4,5,1,102678,8479,13,171,3020,2031
246,Qiyana,14,4,False,1,6,2,81459,7281,13,167,6693,2031
