champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
62,MonkeyKing,4,14,True,9,5,5,132299,14377,16,213,1055,3142
81,Ezreal,7,4,True,12,4,9,192078,15385,15,182,3123,3158
223,TahmKench,12,4,True,1,4,10,93611,8800,15,136,2033,3047
111,Nautilus,4,14,True,4,6,18,37316,9182,14,38,0,3190
154,Zac,4,11,True,9,2,11,142107,12139,16,35,3068,3075
37,Sona,7,4,False,1,6,8,66365,8593,12,96,1082,3853
40,Janna,14,4,False,2,9,11,44177,8208,12,54,3853,2055
76,Nidalee,11,4,False,7,6,8,184569,12363,15,41,4636,3157
166,Akshan,4,14,False,7,7,2,142650,13634,14,186,3006,6672
164,Camille,12,14,False,4,7,2,127291,10897,14,193,3047,6632
516,Ornn,12,4,False,2,3,1,52008,6459,11,124,1054,2031
432,Bard,3,4,False,0,4,2,12408,3500,8,29,3859,2055
28,Evelynn,4,11,False,2,6,2,61933,4954,9,3,1082,3020
18,Tristana,7,4,False,1,2,1,29033,4477,8,86,6672,1042
62,MonkeyKing,12,4,False,0,2,0,47664,4824,11,118,1029,2031
53,Blitzcrank,4,3,True,0,1,7,13586,5118,9,28,2065,3117
114,Fiora,12,4,True,2,0,2,55028,7115,11,135,6630,1036
15,Sivir,7,4,True,1,3,5,65326,6791,9,116,6691,3070
76,Nidalee,11,4,True,11,0,3,91182,9401,10,19,3115,3152
91,Talon,14,4,True,3,1,2,83839,7527,12,130,6630,3133
84,Akali,4,32,False,7,8,21,75828,14302,18,48,3157,4633
14,Sion,32,4,False,2,18,30,65101,13260,18,38,3111,6662
53,Blitzcrank,4,32,False,4,14,25,38319,13423,18,31,3068,3110
145,Kaisa,4,14,False,14,10,31,89131,16494,18,53,6655,3020
62,MonkeyKing,32,4,False,31,13,10,113874,20437,18,75,6632,6333
13,Ryze,4,1,True,8,11,26,114952,15001,18,87,3040,6656
22,Ashe,7,4,True,12,10,38,90227,16410,18,39,3042,3142
96,KogMaw,13,4,True,15,10,31,93682,16575,18,51,6655,3040
236,Lucian,4,7,True,18,10,26,117953,18249,18,60,6672,3508
875,Sett,32,4,True,10,17,27,64320,15218,18,32,3111,3053
107,Rengar,4,14,False,2,2,1,81640,7599,12,126,1055,1037
21,MissFortune,7,4,False,4,7,2,52892,7201,10,109,1055,3006
517,Sylas,4,12,False,0,9,0,34105,4154,9,79,1082,3802
201,Braum,3,4,False,1,6,5,12014,4610,8,27,3855,0
141,Kayn,4,11,False,4,2,1,112553,7646,11,27,3134,3142
2,Olaf,11,4,True,3,1,5,97561,6841,11,46,0,6630
40,Janna,4,14,True,3,3,14,11314,6770,9,3,3853,2065
14,Sion,12,4,True,1,3,1,70584,6023,11,128,3076,2033
103,Ahri,4,14,True,11,0,4,66848,9099,12,116,2421,2033
202,Jhin,3,4,True,8,4,6,73655,9068,11,107,2031,6671
141,Kayn,11,4,False,2,8,5,110669,7532,12,27,6630,3111
202,Jhin,4,7,False,6,5,5,108259,10303,13,162,1055,6671
53,Blitzcrank,4,14,False,1,8,6,21233,5416,10,22,3860,2065
39,Irelia,12,4,False,8,6,2,125249,11801,14,190,3124,6673
142,Zoe,14,4,False,2,8,7,99335,7532,12,123,6655,2033
36,DrMundo,14,4,True,13,4,10,107349,12617,14,140,8001,6662
523,Aphelios,7,4,True,7,3,11,137862,12454,14,188,1055,6676
164,Camille,14,12,True,3,5,7,73695,9850,13,150,2031,6632
35,Shaco,14,11,True,11,3,14,136701,11612,14,29,6653,3041
201,Braum,3,4,True,1,4,19,23835,7113,12,42,3857,0
98,Shen,12,4,True,5,2,8,148608,12957,18,221,1054,3068
55,Katarina,12,14,True,10,5,5,110552,12760,15,178,3152,3089
498,Xayah,4,7,True,7,10,14,162259,13544,15,195,1055,3006
201,Braum,3,4,True,5,0,21,27712,10608,14,46,3857,0
203,Kindred,11,4,True,10,4,15,229521,15730,16,52,6672,0
119,Draven,4,7,False,6,6,5,236457,15048,16,234,6673,2420
497,Rakan,14,4,False,1,11,8,23682,8071,12,49,3860,3107
64,LeeSin,4,11,False,4,8,5,146206,11409,14,21,1028,3053
